fips,strategic_class,strategic_site_ids,strategic_km,strategic_bearing,uasi_share,uasi_area
18111,C1,metro_16980,,,0.0000762,5
18113,D,metro_16980,143.3,275,0,
18115,C2,metro_17140,,,0.00001655,38
18117,E,,,,0,
18119,E,,,,0,
18121,E,,,,0,
18123,E,,,,0,
18125,E,,,,0,
18127,C1,metro_16980,,,0.0009557,5
18129,E,,,,0,
18131,D,metro_16980,39.2,275,0,
18133,E,,,,0,
18135,E,,,,0,
18137,E,,,,0,
18139,E,,,,0,
18141,D,metro_16980,75.2,256,0,
18143,E,,,,0,
18145,C2,metro_26900,,,0.0001127,42
18147,E,,,,0,
18149,D,metro_16980,47.1,303,0,
18151,E,,,,0,
18153,E,,,,0,
18155,E,,,,0,
18157,E,,,,0,
18159,C2,metro_26900,,,0.00003841,42
18161,E,,,,0,
18163,E,,,,0,
18165,E,,,,0,
18167,E,,,,0,
18169,D,metro_16980,115.8,283,0,
18171,E,,,,0,
18173,E,,,,0,
18175,C2,metro_31140,,,0,
18177,E,,,,0,
18179,E,,,,0,
18181,D,metro_16980,55.2,300,0,
18183,D,metro_16980,140.4,267,0,
19001,B,warren_field,712.9,272,0,
19003,B,warren_field,695.7,275,0,
19005,E,,,,0,
19007,E,,,,0,
19009,B,warren_field,675.7,268,0,
19011,E,,,,0,
19013,E,,,,0,
19015,B,warren_field,763.1,266,0,
19017,E,,,,0,
19019,E,,,,0,
19021,B,warren_field,667.2,259,0,
19023,E,,,,0,
19025,B,warren_field,707.3,262,0,
19027,B,warren_field,682.8,265,0,
19029,B,warren_field,671.2,271,0,
19031,E,,,,0,
19033,B,minot_field,741.6,314,0,
19035,B,warren_field,636.4,257,0,
19037,E,,,,0,
19039,B,warren_field,772.9,275,0,
19041,B,warren_field;minot_field,680.9,254,0,
19043,E,,,,0,
19045,E,,,,0,
19047,B,warren_field,642.4,264,0,
19049,B,warren_field,760.8,270,0,
19051,E,,,,0,
19053,B,warren_field,773.7,277,0,
19055,E,,,,0,
19057,E,,,,0,
19059,B,minot_field;warren_field,681.3,316,0,
19061,E,,,,0,
19063,B,minot_field;warren_field,636.3,319,0,
19065,E,,,,0,
19067,B,minot_field,775.3,313,0,
19069,B,minot_field,772.2,316,0,
19071,B,warren_field,622.7,277,0,
19073,B,warren_field,722.9,266,0,
19075,E,,,,0,
19077,B,warren_field,717,269,0,
