fips,karst_share,landslide_susceptible_share
21005,0.252,0.868
21007,0,0.256
21009,0.672,0.597
21011,0.393,0.797
21013,0.0288,0.972
21015,0.652,0.788
21017,0.893,0.435
21019,0,0.94
21021,0.529,0.587
21023,0.325,0.964
21025,0,0.992
21027,0.906,0.673
21029,0.414,0.623
21031,0.2,0.708
21033,0.735,0.489
21035,0.0216,0.375
21037,0.269,0.896
21039,0,0.432
21041,0.212,0.86
21043,0.0833,0.961
21045,0.238,0.834
21047,0.859,0.368
21049,0.619,0.706
21051,0,0.98
21053,0.734,0.829
21055,0.687,0.62
21057,0.343,0.9
21059,0,0.392
21061,0.546,0.769
21063,0.0214,0.986
21065,0.194,0.906
21067,0.947,0.259
21069,0.594,0.788
21071,0,0.987
21073,0.476,0.771
21075,0,0.179
21077,0.269,0.88
21079,0.533,0.831
21081,0.251,0.97
21083,0,0.37
21085,0.603,0.69
21087,0.903,0.739
21089,0.0087,0.902
21091,0.0605,0.717
21093,0.877,0.513
21095,0.0247,0.984
21097,0.454,0.799
21099,0.898,0.755
21101,0,0.235
21103,0.49,0.733
21105,0,0.328
21107,0,0.484
21109,0.152,0.974
21111,0.604,0.375
21113,0.914,0.481
21115,0,0.989
21117,0.598,0.875
21119,0,0.989
21121,0,0.937
21123,0.77,0.503
21125,0.0035,0.866
21127,0,0.985
21129,0.0493,0.981
21131,0,0.997
21133,0.0441,0.994
21135,0.211,0.902
21137,0.406,0.699
21139,0.557,0.545
21141,0.914,0.316
21143,0.571,0.74
21145,0,0.22
21147,0.0828,0.973
21149,0,0.337
21151,0.456,0.77
21153,0,0.982
21155,0.472,0.756
21157,0.00905,0.444
21159,0,0.982
21161,0.742,0.805
21163,0.9,0.605
21165,0.013,0.975
21167,0.505,0.647
21169,0.573,0.736
21171,0.476,0.81
21173,0.388,0.807
21175,0.003,0.975
21177,0.0395,0.639
21179,0.582,0.674
21181,0.343,0.939
21183,0.0458,0.694
21185,0.899,0.638
21187,0.332,0.945
21189,0,0.983
21191,0.122,0.936
21193,0,0.983
21195,0.00782,0.992
21197,0.0837,0.878
21199,0.621,0.76
21201,0.341,0.959
21203,0.43,0.885
21205,0.0392,0.9
21207,0.415,0.763
21209,0.597,0.64
21211,0.686,0.573
21213,0.984,0.198
21215,0.563,0.837
21217,0.471,0.682
21219,0.908,0.335
21221,0.754,0.629
21223,0.627,0.836
21225,0,0.326
21227,0.902,0.487
21229,0.452,0.881
21231,0.706,0.852
21233,0,0.449
21235,0.00604,0.908
21237,0,0.978
21239,0.988,0.432
22001,0,0.0304
22003,0,0.0184
22005,0,0.0667
22007,0,0.0244
22009,0,0.0698
22011,0,0.0392
22013,0.00047,0.301
22015,0,0.154
22017,0,0.154
22019,0,0.0326
22021,0,0.202
22023,0,0.00503
22025,0,0.265
22027,0,0.363
22029,0,0.0749
22031,0,0.208
22033,0,0.131
22035,0,0.0716
22037,0,0.18
22039,0,0.108
22041,0,0.0576
22043,0,0.291
22045,0,0.0525
22047,0,0.0763
22049,0,0.272
22051,0,0.0456
22053,0,0.0247
22055,0,0.0556
22057,0,0.0301
22059,0,0.283
22061,0,0.474
22063,0,0.0424
22065,0,0.0831
22067,0,0.0628
22069,0,0.36
22071,0,0.0845
22073,0,0.311
22075,0,0.04
22077,0,0.0928
22079,0,0.209
22081,0,0.131
22083,0,0.0564
22085,0,0.397
22087,0,0.016
22089,0,0.0667
22091,0,0.116
22093,0,0.0752
22095,0,0.0708
22097,0,0.0688
22099,0,0.0962
22101,0,0.0348
22103,0,0.0637
22105,0,0.108
22107,0,0.0869
22109,0,0.0132
22111,0,0.347
22113,0,0.0166
22115,0,0.191
22117,0,0.265
22119,0,0.181
22121,0,0.0832
22123,0,0.0427
22125,0,0.527
22127,0,0.219
23001,0.134,0.471
23003,0.116,0.253
23005,0.00447,0.475
23007,0.0381,0.645
23009,0.06,0.386
23011,0.0584,0.48
23013,0.135,0.52
23015,0.287,0.574
23017,0.109,0.7
23019,0.0634,0.23
23021,0.0358,0.368
23023,0.0104,0.563
23025,0.03,0.418
23027,0.0797,0.494
23029,0.00435,0.283
23031,0.0196,0.487
24001,0.233,0.901
24003,0.153,0.525
24005,0.0785,0.523
24009,0.466,0.775
24011,0.0893,0.0687
24013,0.0297,0.639
24015,0,0.371
24017,0.138,0.439
24019,0.000642,0.0189
24021,0.134,0.597
24023,0.0457,0.741
24025,0.00171,0.526
24027,0.00457,0.604
24029,0.00773,0.181
24031,0,0.593
24033,0.215,0.541
24035,0.0801,0.0938
24037,0.162,0.438
24039,0,0.0139
24041,0.0379,0.116
24043,0.611,0.641
24045,0,0.0476
24047,0,0.0267
24510,0,0.436
25001,0,0.541
25003,0.306,0.722
25005,0,0.217
25007,0,0.393
25009,0,0.593
25011,0.164,0.806
25013,0.00365,0.643
25015,0.109,0.663
25017,0,0.456
25019,0,0.212
25021,0.00848,0.472
25023,0,0.385
25025,0,0.437
25027,0.000489,0.609
26001,0.00334,0.3
26003,0.646,0.332
26005,0,0.235
26007,0.338,0.0965
26009,0,0.424
26011,0.272,0.0834
26013,0,0.489
26015,0,0.45
26017,0,0.0233
26019,0,0.455
26021,0,0.291
26023,0,0.0535
26025,0.00646,0.214
26027,0,0.295
26029,0.173,0.49
26031,0.0989,0.22
26033,0.41,0.129
26035,0,0.292
26037,0,0.118
26039,0,0.236
26041,0.812,0.176
26043,0.0825,0.503
26045,0,0.131
26047,0.0281,0.473
26049,0,0.14
26051,0,0.105
26053,0,0.285
26055,0,0.429
26057,0,0.0345
26059,0,0.2
26061,0,0.308
26063,0.244,0.0461
26065,0.0151,0.111
26067,0,0.211
26069,0.0747,0.155
26071,0.0204,0.257
26073,0,0.111
26075,0.0997,0.231
26077,0,0.273
26079,0,0.285
26081,0.0142,0.373
26083,0,0.428
26085,0,0.373
26087,0,0.228
26089,0.117,0.642
26091,0.0071,0.142
26093,0.0033,0.278
26095,0.536,0.224
26097,0.711,0.164
26099,0,0.0783
26101,0,0.366
26103,0.2,0.566
26105,0,0.292
26107,0,0.359
26109,0.831,0.216
26111,0,0.0446
26113,0,0.225
26115,0.769,0.0448
26117,0,0.186
26119,0.00206,0.3
26121,0,0.2
26123,0,0.312
26125,0,0.312
26127,0,0.381
26129,0,0.305
26131,0,0.293
26133,0,0.472
26135,0,0.342
26137,0,0.327
26139,0.00535,0.174
26141,0.682,0.137
26143,0,0.188
26145,0,0.0342
26147,0,0.0683
