fips,population,building_value_usd,eal_valt,sovi_score,resl_score,crf_value,coastal,tsunami_zone
20043,7510,3199000000,6078000,32.03,63.26,0.9909,false,false
20045,118700,27510000000,46300000,11.39,83.33,0.7639,false,false
20047,2905,1192000000,7143000,28.69,41.41,0.9695,false,false
20049,2483,1239000000,4215000,81.17,29.71,1.467,false,false
20051,28930,8592000000,16010000,10.62,77.96,0.686,false,false
20053,6367,2771000000,7091000,20.23,50.51,0.892,false,false
20055,38450,7514000000,23600000,34.99,6.457,1.039,false,false
20057,34260,7959000000,18620000,24.2,4.866,0.9474,false,false
20059,25980,6474000000,15540000,25.41,84.35,0.9291,false,false
20061,36620,7005000000,17690000,10.62,48.54,0.7466,false,false
20063,2718,1483000000,4225000,10.62,48.03,0.7476,false,false
20065,2412,780900000,2811000,42.43,41.95,1.077,false,false
20067,7345,1831000000,7423000,10.62,3.944,0.791,false,false
20069,5646,2168000000,11430000,38.52,16.19,1.061,false,false
20071,1275,991200000,2842000,10.62,53.4,0.7408,false,false
20073,6011,2575000000,8523000,35.53,42.68,1.021,false,false
20075,2518,665300000,3721000,10.62,1.24,0.8027,false,false
20077,5481,2543000000,8844000,58.14,58.52,1.199,false,false
20079,34020,8285000000,20550000,10.62,94.27,0.6145,false,false
20081,3754,983900000,7004000,19.15,13.99,0.8916,false,false
20083,1723,1114000000,4532000,10.62,32.92,0.7607,false,false
20085,13230,3308000000,7712000,38.07,70.99,1.031,false,false
20087,18340,4885000000,11460000,10.62,87.15,0.6552,false,false
20089,2931,1848000000,7652000,53.02,44.97,1.161,false,false
20091,609600,159200000000,256800000,10.62,75.32,0.6935,false,false
20093,3977,1346000000,5651000,10.62,7.284,0.7856,false,false
20095,7470,3027000000,11160000,41.06,71.69,1.056,false,false
20097,2453,1005000000,5976000,39.66,63.52,1.046,false,false
20099,20170,6370000000,18220000,84.7,65.71,1.461,false,false
20101,1571,1162000000,3110000,10.62,55.25,0.7368,false,false
20103,81850,17820000000,34470000,11.39,66.98,0.775,false,false
20105,2939,1471000000,5091000,52.26,49.59,1.153,false,false
20107,9589,3576000000,6344000,18.13,28.69,0.8777,false,false
20109,2760,1473000000,3339000,59.13,44.75,1.216,false,false
20111,32150,8242000000,17650000,20.77,66.35,0.8935,false,false
20113,30220,7485000000,20090000,10.62,91.63,0.632,false,false
20115,11820,4427000000,12240000,35.78,82.7,1.012,false,false
20117,10040,4301000000,7862000,36.26,90.84,1.011,false,false
20119,4051,1696000000,8049000,11.39,24.33,0.7939,false,false
20121,34180,8278000000,17870000,12.18,80.38,0.7914,false,false
20123,5793,2884000000,10290000,31.17,71.18,0.981,false,false
20125,31480,7845000000,27330000,60.56,51.94,1.225,false,false
20127,5370,1562000000,6715000,79.29,60.05,1.41,false,false
20129,2694,1164000000,3977000,10.62,10.37,0.781,false,false
20131,10270,5050000000,8360000,14.76,87.21,0.8265,false,false
20133,15900,4420000000,11930000,22.58,58.72,0.915,false,false
20135,2686,1965000000,4711000,46.41,58.24,1.102,false,false
20137,5450,1441000000,6337000,56.04,47.65,1.189,false,false
20139,15740,3877000000,10830000,44.75,59.45,1.088,false,false
20141,3496,1995000000,6981000,51.05,62.05,1.138,false,false
20143,5735,1672000000,6783000,33.21,63.04,0.9978,false,false
20145,6253,2333000000,10700000,33.97,86.35,0.9964,false,false
20147,4978,2992000000,9636000,74.49,49.75,1.365,false,false
20149,25330,7316000000,15760000,10.62,84.61,0.6671,false,false
20151,9150,2488000000,16420000,54.99,80.28,1.156,false,false
20153,2548,2199000000,4150000,10.62,31.08,0.7644,false,false
20155,61880,15270000000,44560000,33.21,73.76,0.9959,false,false
20157,4674,2486000000,7259000,35.24,81.23,1.009,false,false
20159,9411,3121000000,10440000,25.6,64.85,0.9369,false,false
20161,71950,16100000000,29380000,10.62,64.09,0.7162,false,false
20163,4918,2150000000,8217000,10.62,48.82,0.7462,false,false
20165,2952,1860000000,4697000,10.62,80.41,0.6788,false,false
20167,6677,2038000000,5826000,29.42,57.16,0.9703,false,false
20169,54300,13320000000,32370000,14.38,83.78,0.8218,false,false
20171,5151,1995000000,10450000,80.6,25.32,1.466,false,false
20173,523600,109900000000,255900000,29.93,70.39,0.9708,false,false
20175,21950,5008000000,11780000,50.45,3.753,1.179,false,false
20177,178900,37310000000,74550000,35.31,85.81,1.007,false,false
20179,2447,917700000,5265000,10.62,82.92,0.6734,false,false
20181,5926,2491000000,6200000,17.24,36.42,0.8645,false,false
20183,3570,2144000000,8251000,28.69,74.24,0.959,false,false
20185,4061,1731000000,8113000,36.96,49.62,1.031,false,false
20187,2083,547900000,4649000,35.34,1.845,1.053,false,false
20189,5227,1644000000,8067000,86.45,6.33,1.614,false,false
20191,22360,5966000000,17140000,27.8,78.75,0.9506,false,false
20193,7930,3455000000,6809000,10.62,69.66,0.7066,false,false
20195,2803,1788000000,3441000,10.62,62.85,0.7179,false,false
