fips,event_type,rate_per_year,share_damaging,median_days,p90_days,events,share_injury,source,years
42051,high_wind,0.3,0.7778,0.375,1.167,9,0.1111,storm_events,1996-2025
42051,ice_storm,0.2,0,0.625,0.6771,6,0,storm_events,1996-2025
42051,severe_wind_65kt_day,0.1667,0.6,,,5,0,spc,1996-2025
42051,severe_wind_day,6.433,0.8187,,,193,0,spc,1996-2025
42051,tornado,0.4,0.8333,,,12,0.08333,spc,1996-2025
42051,tornado_ef2plus,0.06667,1,,,2,0.5,spc,1996-2025
42051,tropical_storm_passage,0.02632,,,,2,,hurdat2,1950-2025
42051,wildfire,0.03333,0,0.3333,0.3333,1,0,storm_events,1996-2025
42051,winter_storm,1.167,0,1,1.75,35,0,storm_events,1996-2025
42053,drought,0.06667,0,30,31,2,0,storm_events,1996-2025
42053,extreme_cold,0.3,0,1.167,2.5,9,0,storm_events,1996-2025
42053,flash_flood,0.4,0.4167,0.04167,0.5826,12,0,storm_events,1996-2025
42053,flood,0.1667,0.8,0.3285,0.9583,5,0,storm_events,1996-2025
42053,hail_1in_day,0.3,0.1111,,,9,0,spc,1996-2025
42053,hail_2in_day,0.03333,0,,,1,0,spc,1996-2025
42053,high_wind,0.5,0.7333,0.08333,0.25,15,0,storm_events,1996-2025
42053,ice_storm,0.4333,0.3077,0.4167,1,13,0,storm_events,1996-2025
42053,severe_wind_65kt_day,0.03333,1,,,1,0,spc,1996-2025
42053,severe_wind_day,2.433,0.8356,,,73,0.0137,spc,1996-2025
42053,tornado,0.2,0.3333,,,6,0,spc,1996-2025
42053,tornado_ef2plus,0.06667,0,,,2,0,spc,1996-2025
42053,tropical_storm_passage,0.01316,,,,1,,hurdat2,1950-2025
42053,winter_storm,1.833,0.01818,0.7083,1.417,55,0,storm_events,1996-2025
42055,drought,0.1667,0,29.67,31,5,0,storm_events,1996-2025
42055,extreme_cold,0.1667,0,0.7917,1.875,5,0,storm_events,1996-2025
42055,flash_flood,1.433,0.09302,0.1146,0.375,43,0,storm_events,1996-2025
42055,flood,0.5333,0,0.4062,2.208,16,0,storm_events,1996-2025
42055,hail_1in_day,0.7,0,,,21,0,spc,1996-2025
42055,heat,0.2667,0,0.375,2.25,8,0,storm_events,1996-2025
42055,high_wind,0.5,0.4,0.3125,0.5833,15,0.06667,storm_events,1996-2025
42055,hurricane_passage,0.01316,,,,1,,hurdat2,1950-2025
42055,ice_storm,0.2,0,0.5,1.583,6,0,storm_events,1996-2025
42055,severe_wind_65kt_day,0.06667,0.5,,,2,0.5,spc,1996-2025
42055,severe_wind_day,4.867,0.6438,,,146,0.006849,spc,1996-2025
42055,tornado,0.3,0.4444,,,9,0,spc,1996-2025
42055,tornado_ef2plus,0.03333,1,,,1,0,spc,1996-2025
42055,tropical_cyclone_impact,0.03333,0,0.5833,0.5833,1,0,storm_events,1996-2025
