fips,events_per_customer_year,p_ge_1d,p_ge_3d,p_ge_7d,p_ge_14d,median_hours,p90_hours,years_covered,years_of_data,duration_basis,events_per_year,events,customers,customer_hours_per_customer_year,share_customer_hours_in_events,longest_event_hours
12117,0.5738,0.275,0.0922,0,0,6.5,69.5,2014-2025,11.17,county,10.03,112,201800,14.21,0.8862,240
12119,0.4421,0.07864,0.0318,0,0,1.5,17.25,2014-2025,11.17,county,9.134,102,102400,4.293,0.8347,186.8
12121,1.801,0.1465,0.04911,0.00729,0,2.75,34.5,2014-2025,11.17,county,23.46,262,27980,26.09,0.9099,297.2
12123,2.643,0.1612,0.04062,0,0,2,40.5,2014-2025,11.17,county,26.06,291,12060,37.79,0.8733,258.8
12125,0.9162,0.05649,0.005869,0,0,1.5,14.5,2014-2025,11.17,county,15.04,168,11360,6.105,0.8778,161.2
12127,0.9872,0.3249,0.04819,0,0,9.25,56,2014-2025,11.17,county,5.821,65,232700,22.16,0.8947,218
12129,3.257,0.1087,0.01434,0.0001127,0,2,24.5,2014-2025,11.17,county,34.57,386,14150,27.7,0.9314,270
12131,0.5082,0.01482,0,0,0,1.75,5.75,2014-2025,11.17,county,12.18,136,71400,2.558,0.6191,61.5
12133,1.918,0.04108,0.02005,0,0,1.75,6.5,2014-2025,11.17,county,26.78,299,17060,13.25,0.8052,243.2
13001,2.206,0.08458,0.05223,0.02852,0.01044,1.75,14.5,2014-2025,11.17,county,30.27,338,9991,34.52,0.9389,501.2
13003,3.906,0.07751,0.05311,0.02888,0.001477,2,13.25,2014-2025,11.17,county,29.64,331,4283,55.94,0.964,521.5
13005,1.501,0.1135,0.05504,0.02773,0,1.5,35,2014-2025,11.17,county,18.9,211,6119,21.28,0.9397,517
13007,5.108,0.009182,0.00554,0,0,1.75,6,2014-2025,10.75,county,35.44,381,1190,20.04,0.8813,146.2
13009,0.9835,0.04424,0.01517,0,0,2,10,2014-2025,11.17,county,19.7,220,21850,6.946,0.8173,127.5
13011,1.062,0.1023,0.006783,0,0,2.5,24.5,2014-2025,11.17,county,20.15,225,11560,9.618,0.8914,128.5
13013,0.314,0.04967,0,0,0,1.75,11.25,2014-2025,11.17,county,10.21,114,61060,1.992,0.7228,101.8
13015,0.9587,0.02962,0.001354,0,0,2,10.5,2014-2025,11.17,county,22.57,252,38430,5.809,0.7413,91.5
13017,0.5058,0.1319,0.03211,0,0,2.25,31.25,2015-2025,10.58,county,10.49,111,14640,5.659,0.8895,172.2
13019,0.9387,0.1809,0.07038,0.003243,0,2.75,56.75,2014-2025,11.17,county,10.39,116,8532,16.46,0.9432,211.2
13021,0.4764,0.08674,0.02919,0,0,2.5,19.5,2014-2025,11.17,county,12.99,145,81730,5.416,0.7659,133.8
13023,0.5563,0.1048,0.005246,0,0,2.25,25,2014-2025,11.17,county,6.358,71,5492,5.297,0.9149,130.5
13025,1.433,0.1009,0.01003,0,0,1.75,25.25,2014-2025,11.08,county,16.69,185,8007,12.12,0.8967,202.2
13027,0.6055,0.1596,0.04749,0,0,2.75,55,2014-2025,11.17,county,10.39,116,7555,8.966,0.9351,163
13029,0.6985,0.159,0.02957,0,0,1.75,33.5,2014-2025,11.17,county,11.73,131,26790,8.518,0.8867,232.8
13031,0.8992,0.1155,0.05229,0.007482,0,2.25,24.5,2014-2025,11.17,county,19.43,217,39330,12.51,0.9128,258
13033,0.5681,0.1165,0.05301,0,0,2.25,31,2014-2025,11.17,county,12.63,141,16400,8.33,0.8656,436.5
13035,0.7675,0.05101,0.007165,0,0,1.25,8.75,2014-2025,11.17,county,9.761,109,14790,4.149,0.7951,118.8
13037,2.641,0.07694,0.06234,0,0,2,14.75,2014-2025,11.17,county,25.43,284,1709,28.09,0.957,217.5
13039,1.246,0.0963,0.01657,0,0,2,22,2014-2025,11.17,county,22.39,250,24470,12.06,0.9025,148.5
13043,1.795,0.1151,0.05628,0,0,2.25,24,2014-2025,11.17,county,22.66,253,4883,23.13,0.9575,258.5
13045,0.5577,0.008478,0,0,0,2.5,11.75,2014-2025,11.17,county,11.01,123,70670,3.502,0.7012,84.75
13047,1.046,0.01147,0,0,0,1.5,3.75,2014-2025,11.17,county,19.34,216,34780,3.202,0.7464,73.25
13049,2.041,0.09312,0.01325,0,0,2,21.75,2014-2025,11.17,county,22.57,252,5213,17.5,0.9336,205.5
