zip,place,zip_land_share
07078,3467320,0.652
07080,3469390,1
07081,3470018,0.075
07082,3473170,0.984
07083,3414815,0.01
07083,3436484,0.027
07083,3474478,0.029
07083,3475590,0.028
07086,3432250,0.013
07087,3436000,0.014
07087,3474630,0.986
07088,3475590,1
07090,3479040,0.996
07092,3448510,0.996
07093,3428650,0.163
07093,3479610,0.837
07094,3466570,1
07095,3481950,0.999
07102,3451000,1
07103,3451000,1
07104,3451000,1
07105,3451000,1
07106,3451000,1
07107,3451000,0.996
07108,3451000,1
07109,3467590,0.067
07112,3451000,1
07114,3451000,1
07201,3421000,1
07202,3421000,1
07203,3464620,1
07204,3464650,1
07205,3436484,0.022
07206,3421000,1
07208,3421000,0.999
07302,3436000,1
07304,3436000,1
07305,3436000,1
07306,3436000,1
07307,3436000,0.986
07307,3466570,0.014
07310,3436000,1
